Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\Project Outputs for DigitalLabBoard\Pick Place for DigitalLabBoard.csv

========================================================================================================================
File Design Information:

Date:       06/11/19
Time:       23:48
Revision:   e5239c892a4637b7401fa398a8824dd38e0c6cfb
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"R37","CR1608-0603","46.1518","44.1960","46.1518","44.1960","46.1518","43.3460","TopLayer","90"
"R35","CR1608-0603","47.1170","40.0050","47.1170","40.0050","47.9670","40.0050","TopLayer","180"
"U6","SOT23-5","48.8480","44.0690","48.8480","44.0690","47.4980","45.0190","TopLayer","180"
"C10","CCNP2012-0805","48.8950","48.3870","48.8950","48.3870","49.8450","48.3870","TopLayer","180"
"C12","CCNP1608-0603","50.2450","40.7670","50.2450","40.7670","50.2450","39.9170","TopLayer","90"
"C11","CCNP2012-0805","52.4510","44.0690","52.4510","44.0690","52.4510","43.1190","TopLayer","90"
"POWER_BTN","SMD-SW-4_5.1x5.1x3.5","58.1660","37.8460","58.1660","37.8460","60.0410","40.8460","TopLayer","90"
"D17","LED1608-0603-RED","58.1660","44.6240","58.1660","44.6240","59.0160","44.6240","TopLayer","0"
"P7","HDR2X3S","59.9948","113.5380","62.5348","114.8080","62.5348","114.8080","TopLayer","180"
"R19","CR1608-0603","61.8490","43.4340","61.8490","43.4340","61.8490","44.2840","TopLayer","270"
"RN3","CR1206-0603_X4","64.4040","121.0821","65.0540","119.8821","65.0540","119.8821","TopLayer","90"
"RN4","CR1206-0603_X4","64.4040","125.7955","65.0540","124.5955","65.0540","124.5955","TopLayer","90"
"R36","CR1608-0603","65.0748","113.7920","65.0748","113.7920","65.0748","114.6420","TopLayer","270"
"R3","CR1608-0603","67.4370","37.7190","67.4370","37.7190","68.2870","37.7190","TopLayer","180"
"S8","SMD-SW-4_5.1x5.1x2.0","67.4370","31.7500","67.4370","31.7500","69.3120","34.7500","TopLayer","90"
"D8","LED1608-0603-RED","67.4370","38.9890","67.4370","38.9890","68.2870","38.9890","TopLayer","0"
"D_CLOCK","LED1608-0603-RED","67.4878","113.7920","67.4878","113.7920","67.4878","112.9420","TopLayer","270"
"Z3","SC70_N","67.4878","121.4821","67.4878","121.4821","68.6128","120.8321","TopLayer","180"
"Z4","SC70_N","67.5640","125.4120","67.5640","125.4120","68.6890","124.7620","TopLayer","180"
"R32","CR1608-0603","70.0278","113.7920","70.0278","113.7920","70.0278","114.6420","TopLayer","270"
"R4","CR1608-0603","73.2790","37.7190","73.2790","37.7190","74.1290","37.7190","TopLayer","180"
"S7","SMD-SW-4_5.1x5.1x2.0","73.2790","31.7500","73.2790","31.7500","75.1540","34.7500","TopLayer","90"
"D7","LED1608-0603-RED","73.2790","38.9890","73.2790","38.9890","74.1290","38.9890","TopLayer","0"
"U3","TSSOP20_N","73.7362","123.4440","73.7362","123.4440","70.7862","126.3690","TopLayer","270"
"C6","CCNP1608-0603","75.5678","127.7620","75.5678","127.7620","76.4178","127.7620","TopLayer","180"
"P3","HDR2X8S","77.7240","49.2760","86.6140","50.5460","86.6140","50.5460","TopLayer","180"
"RN6","CR1206-0603_X4","77.7390","115.5130","77.0890","116.7130","77.0890","116.7130","TopLayer","270"
"RN5","CR1206-0603_X4","77.7390","111.8300","77.0890","113.0300","77.0890","113.0300","TopLayer","270"
"R5","CR1608-0603","79.1210","37.7190","79.1210","37.7190","79.9710","37.7190","TopLayer","180"
"S6","SMD-SW-4_5.1x5.1x2.0","79.1210","31.7500","79.1210","31.7500","80.9960","34.7500","TopLayer","90"
"D6","LED1608-0603-RED","79.1210","38.9890","79.1210","38.9890","79.9710","38.9890","TopLayer","0"
"R18","CR1608-0603","82.7160","127.2282","82.7160","127.2282","83.5660","127.2282","TopLayer","180"
"LED_7","LED1608-0603-RED","82.7160","128.4982","82.7160","128.4982","83.5660","128.4982","TopLayer","0"
"R6","CR1608-0603","84.9630","37.7190","84.9630","37.7190","85.8130","37.7190","TopLayer","180"
"S5","SMD-SW-4_5.1x5.1x2.0","84.9630","31.7500","84.9630","31.7500","86.8380","34.7500","TopLayer","90"
"D5","LED1608-0603-RED","84.9630","38.9890","84.9630","38.9890","85.8130","38.9890","TopLayer","0"
"R17","CR1608-0603","86.5260","127.2282","86.5260","127.2282","87.3760","127.2282","TopLayer","180"
"LED_6","LED1608-0603-RED","86.5260","128.4982","86.5260","128.4982","87.3760","128.4982","TopLayer","0"
"R16","CR1608-0603","90.3360","127.2282","90.3360","127.2282","91.1860","127.2282","TopLayer","180"
"LED_5","LED1608-0603-RED","90.3360","128.4982","90.3360","128.4982","91.1860","128.4982","TopLayer","0"
"D4","LED1608-0603-RED","90.8050","38.9890","90.8050","38.9890","91.6550","38.9890","TopLayer","0"
"R7","CR1608-0603","90.8050","37.7190","90.8050","37.7190","91.6550","37.7190","TopLayer","180"
"S4","SMD-SW-4_5.1x5.1x2.0","90.8050","31.7500","90.8050","31.7500","92.6800","34.7500","TopLayer","90"
"R15","CR1608-0603","94.1460","127.2282","94.1460","127.2282","94.9960","127.2282","TopLayer","180"
"LED_4","LED1608-0603-RED","94.1460","128.4982","94.1460","128.4982","94.9960","128.4982","TopLayer","0"
"P4","HDR2X8S","96.0120","113.5380","104.9020","114.8080","104.9020","114.8080","TopLayer","180"
"R8","CR1608-0603","96.6470","37.7190","96.6470","37.7190","97.4970","37.7190","TopLayer","180"
"S3","SMD-SW-4_5.1x5.1x2.0","96.6470","31.7500","96.6470","31.7500","98.5220","34.7500","TopLayer","90"
"D3","LED1608-0603-RED","96.6470","38.9890","96.6470","38.9890","97.4970","38.9890","TopLayer","0"
"R14","CR1608-0603","97.9560","127.2282","97.9560","127.2282","98.8060","127.2282","TopLayer","180"
"LED_3","LED1608-0603-RED","97.9560","128.4982","97.9560","128.4982","98.8060","128.4982","TopLayer","0"
"P2","HDR2X8S","98.0440","49.2760","106.9340","50.5460","106.9340","50.5460","TopLayer","180"
"R13","CR1608-0603","101.7660","127.2282","101.7660","127.2282","102.6160","127.2282","TopLayer","180"
"LED_2","LED1608-0603-RED","101.7660","128.4982","101.7660","128.4982","102.6160","128.4982","TopLayer","0"
"R9","CR1608-0603","102.4890","37.7190","102.4890","37.7190","103.3390","37.7190","TopLayer","180"
"D2","LED1608-0603-RED","102.4890","38.9890","102.4890","38.9890","103.3390","38.9890","TopLayer","0"
"S2","SMD-SW-4_5.1x5.1x2.0","102.4890","31.7500","102.4890","31.7500","104.3640","34.7500","TopLayer","90"
"R12","CR1608-0603","105.5760","127.2282","105.5760","127.2282","106.4260","127.2282","TopLayer","180"
"LED_1","LED1608-0603-RED","105.5760","128.4982","105.5760","128.4982","106.4260","128.4982","TopLayer","0"
"R10","CR1608-0603","108.3310","37.7190","108.3310","37.7190","109.1810","37.7190","TopLayer","180"
"D1","LED1608-0603-RED","108.3310","38.9690","108.3310","38.9690","109.1810","38.9690","TopLayer","0"
"S1","SMD-SW-4_5.1x5.1x2.0","108.3310","31.7500","108.3310","31.7500","110.2060","34.7500","TopLayer","90"
"R11","CR1608-0603","109.3860","127.2282","109.3860","127.2282","110.2360","127.2282","TopLayer","180"
"LED_0","LED1608-0603-RED","109.3860","128.4982","109.3860","128.4982","110.2360","128.4982","TopLayer","0"
"V_LNK","SOLDERBRIDGE(OPEN)","114.0460","42.4180","114.0460","42.4180","113.5126","42.4180","TopLayer","0"
"C9","CCNP1608-0603","114.1730","34.5440","114.1730","34.5440","114.1730","33.6940","TopLayer","90"
"RN2","CR1206-0603_X4","114.2596","68.4720","114.9096","67.2720","114.9096","67.2720","TopLayer","90"
"RN1","CR1206-0603_X4","114.2642","64.8780","114.9142","63.6780","114.9142","63.6780","TopLayer","90"
"C8","CCNP1608-0603","114.4270","38.2270","114.4270","38.2270","113.5770","38.2270","TopLayer","360"
"R31","CR1608-0603","114.4270","39.3700","114.4270","39.3700","113.5770","39.3700","TopLayer","360"
"R28","CR1608-0603","114.4270","40.5130","114.4270","40.5130","113.5770","40.5130","TopLayer","360"
"J10","BCS-102-L-D-TE","115.2190","104.3150","113.9490","105.5850","113.9490","105.5850","TopLayer","270"
"J9","BCS-102-L-D-TE","115.2190","58.5950","113.9490","59.8650","113.9490","59.8650","TopLayer","270"
"C3","CCNP1608-0603","115.4430","34.5440","115.4430","34.5440","115.4430","33.6940","TopLayer","90"
"R1","CR1608-0603","116.6114","110.3376","116.6114","110.3376","117.4614","110.3376","TopLayer","180"
"R2","CR1608-0603","116.6114","109.0930","116.6114","109.0930","117.4614","109.0930","TopLayer","180"
"C2","CCNP1608-0603","116.6830","43.8150","116.6830","43.8150","116.6830","44.6650","TopLayer","270"
"P8","SWD-2X5","117.4496","29.7180","119.9896","30.3530","119.9896","30.3530","TopLayer","180"
"Z6","SC70_N","118.1100","123.2916","118.1100","123.2916","116.9850","123.9416","TopLayer","360"
"Z5","SC70_N","118.1100","120.6754","118.1100","120.6754","116.9850","121.3254","TopLayer","0"
"Z7","SC70_N","118.2878","84.6836","118.2878","84.6836","117.1628","85.3336","TopLayer","360"
"Z1","SC70_N","118.3386","64.7954","118.3386","64.7954","117.2136","65.4454","TopLayer","360"
"Z2","SC70_N","118.3386","67.6864","118.3386","67.6864","117.2136","68.3364","TopLayer","360"
"RN7","CR1206-0603_X4","118.4298","87.8776","119.0798","86.6776","119.0798","86.6776","TopLayer","90"
"U1","TSQFP50P900X900-48M","122.0470","38.1000","122.0470","38.1000","117.9470","40.8500","TopLayer","0"
"U4","TSSOP24_N","123.9266","122.3150","123.9266","122.3150","120.9766","125.8900","TopLayer","270"
"U5","TSSOP20_N","124.1298","86.3346","124.1298","86.3346","121.1798","89.2596","TopLayer","270"
"RN13","CR1206-0603_X4","124.2972","49.7522","123.6472","50.9522","123.6472","50.9522","TopLayer","270"
"U2","TSSOP24_N","124.3330","66.4718","124.3330","66.4718","121.3830","70.0468","TopLayer","270"
"C5","CCNP1608-0603","124.5084","91.1098","124.5084","91.1098","123.6584","91.1098","TopLayer","360"
"R38","CR1608-0603","124.9680","29.4640","124.9680","29.4640","124.1180","29.4640","TopLayer","360"
"C7","CCNP1608-0603","124.9680","30.7594","124.9680","30.7594","125.8180","30.7594","TopLayer","180"
"Z8","SC70_N","124.9980","46.4208","124.9980","46.4208","123.8730","47.0708","TopLayer","360"
"C4","CCNP1608-0603","125.2982","127.6096","125.2982","127.6096","124.4482","127.6096","TopLayer","360"
"C1","CCNP1608-0603","125.7808","71.7550","125.7808","71.7550","124.9308","71.7550","TopLayer","360"
"RN16","CR1206-0603_X4","126.8580","109.0994","127.5080","107.8994","127.5080","107.8994","TopLayer","90"
"RN12","CR1206-0603_X4","126.8580","114.2936","127.5080","113.0936","127.5080","113.0936","TopLayer","90"
"RN11","CR1206-0603_X4","126.8580","104.1464","127.5080","102.9464","127.5080","102.9464","TopLayer","90"
"RN9","CR1206-0603_X4","126.9134","77.1970","126.2634","78.3970","126.2634","78.3970","TopLayer","270"
"RN15","CR1206-0603_X4","126.9342","49.7522","127.5842","48.5522","127.5842","48.5522","TopLayer","90"
"Y1","Crystal_SMD_3.2x2.5","128.7780","33.0200","128.7780","33.0200","129.5780","31.9200","TopLayer","90"
"RN14","CR1206-0603_X4","131.9780","40.1130","132.6280","38.9130","132.6280","38.9130","TopLayer","90"
"P1","HDR2X8S","132.1200","109.2200","133.3900","100.3300","133.3900","100.3300","TopLayer","90"
"P6","HDR2X4S","132.1200","49.6570","133.3900","45.8470","133.3900","45.8470","TopLayer","90"
"P5","HDR2X4S","132.1200","77.2160","133.3900","73.4060","133.3900","73.4060","TopLayer","90"
"RN17","CR1206-0603_X4","139.9750","65.7710","141.1750","66.4210","141.1750","66.4210","TopLayer","180"
"R27","CR1608-0603","142.1530","105.5370","142.1530","105.5370","142.1530","106.3870","TopLayer","270"
"D_PNS","LED1608-0603-GREEN","144.6930","104.6480","144.6930","104.6480","145.5430","104.6480","TopLayer","360"
"S_PNS","SMD-SW-4_5.1x5.1x2.0","144.8200","119.1260","144.8200","119.1260","147.8200","117.2510","TopLayer","360"
"S_PEW","SMD-SW-4_5.1x5.1x2.0","145.8360","98.2980","145.8360","98.2980","147.7110","101.2980","TopLayer","90"
"Step_LED3","LED1608-0603-RED","147.9950","49.6570","147.9950","49.6570","147.9950","50.5070","TopLayer","90"
"Step_LED2","LED1608-0603-RED","149.2881","54.4830","149.2881","54.4830","149.7131","55.2191","TopLayer","60"
"Step_LED4","LED1608-0603-RED","149.2881","44.8310","149.2881","44.8310","148.8631","45.5671","TopLayer","120"
"RN10","CR1206-0603_X4","150.6770","75.0760","150.0270","76.2760","150.0270","76.2760","TopLayer","270"
"RN8","CR1206-0603_X4","150.6770","79.3940","150.0270","80.5940","150.0270","80.5940","TopLayer","270"
"Step_LED1","LED1608-0603-RED","152.8210","58.0159","152.8210","58.0159","153.5571","58.4409","TopLayer","30"
"Step_LED5","LED1608-0603-RED","152.8210","41.2981","152.8210","41.2981","152.0849","41.7231","TopLayer","150"
"DIE_LED_B1","LED1608-0603-RED","157.1390","82.2960","157.1390","82.2960","157.1390","81.4460","TopLayer","270"
"DIE_LED_C2","LED1608-0603-RED","157.1390","72.1360","157.1390","72.1360","157.1390","71.2860","TopLayer","270"
"DIE_LED_D1","LED1608-0603-RED","157.1390","77.2160","157.1390","77.2160","157.1390","76.3660","TopLayer","270"
"Step_LED0","LED1608-0603-RED","157.6470","59.3090","157.6470","59.3090","158.4970","59.3090","TopLayer","0"
"Step_LED6","LED1608-0603-RED","157.6470","40.0050","157.6470","40.0050","156.7970","40.0050","TopLayer","180"
"S_CNW","SMD-SW-4_5.1x5.1x2.0","158.5360","120.6500","158.5360","120.6500","156.6610","117.6500","TopLayer","270"
"R23","CR1608-0603","159.4250","95.6310","159.4250","95.6310","158.5750","95.6310","TopLayer","360"
"D_PEW","LED1608-0603-GREEN","160.3140","98.1710","160.3140","98.1710","160.3140","99.0210","TopLayer","90"
"D_REW","LED1608-0603-RED","162.0920","101.8540","162.0920","101.8540","162.0920","102.7040","TopLayer","90"
"R20","CR1608-0603","162.0920","98.5980","162.0920","98.5980","162.0920","97.7480","TopLayer","90"
"DIE_LED_A","LED1608-0603-RED","162.2190","77.2160","162.2190","77.2160","162.2190","76.3660","TopLayer","270"
"Step_LED7","LED1608-0603-RED","162.4730","41.2981","162.4730","41.2981","161.7369","40.8731","TopLayer","210"
"Step_LED11","LED1608-0603-RED","162.4730","58.0159","162.4730","58.0159","163.2091","57.5909","TopLayer","330"
"D_ANS","LED1608-0603-YELLOW","163.1080","116.8400","163.1080","116.8400","162.2580","116.8400","TopLayer","180"
"D_GNS","LED1608-0603-GREEN","163.1080","118.1100","163.1080","118.1100","162.2580","118.1100","TopLayer","180"
"D_RNS","LED1608-0603-RED","163.1080","115.5700","163.1080","115.5700","162.2580","115.5700","TopLayer","180"
"D_AEW","LED1608-0603-YELLOW","163.3620","101.8540","163.3620","101.8540","163.3620","102.7040","TopLayer","90"
"R21","CR1608-0603","163.3620","98.5980","163.3620","98.5980","163.3620","97.7480","TopLayer","90"
"D_GEW","LED1608-0603-GREEN","164.6320","101.8540","164.6320","101.8540","164.6320","102.7040","TopLayer","90"
"R22","CR1608-0603","164.6320","98.5980","164.6320","98.5980","164.6320","97.7480","TopLayer","90"
"Step_LED8","LED1608-0603-RED","166.0059","44.8310","166.0059","44.8310","165.5809","44.0949","TopLayer","240"
"Step_LED10","LED1608-0603-RED","166.0059","54.4830","166.0059","54.4830","166.4309","53.7469","TopLayer","300"
"R24","CR1608-0603","166.3640","115.5700","166.3640","115.5700","167.2140","115.5700","TopLayer","180"
"R25","CR1608-0603","166.3640","116.8400","166.3640","116.8400","167.2140","116.8400","TopLayer","180"
"R26","CR1608-0603","166.3640","118.1100","166.3640","118.1100","167.2140","118.1100","TopLayer","180"
"S_CEW","SMD-SW-4_5.1x5.1x2.0","167.1720","106.4260","167.1720","106.4260","164.1720","108.3010","TopLayer","180"
"DIE_LED_B2","LED1608-0603-RED","167.2990","72.1360","167.2990","72.1360","167.2990","71.2860","TopLayer","270"
"DIE_LED_C1","LED1608-0603-RED","167.2990","82.2960","167.2990","82.2960","167.2990","81.4460","TopLayer","270"
"DIE_LED_D2","LED1608-0603-RED","167.2990","77.2160","167.2990","77.2160","167.2990","76.3660","TopLayer","270"
"Step_LED9","LED1608-0603-RED","167.2990","49.6570","167.2990","49.6570","167.2990","48.8070","TopLayer","270"
