Altium Designer Pick and Place Locations
C:\Users\podonoghue\Documents\Development\DigitalLabBoard\PCB_Design\DigitalLabBoard_V4 6-03-2020 1-18-22 PM\Pick Place for DigitalLabBoard.csv

========================================================================================================================
File Design Information:

Date:       06/03/20
Time:       13:18
Revision:   fc5928c950f66233d0763c738c6b4f68bac3f9e7
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"S_FREQ_DOWN","SMD-SW-4_5.1x5.1x3.5_M","TopLayer","SMD-SW-4_5.1X5.1X3.5_M","-157.480","3594.567","270","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"R34","10K","TopLayer","CR1608-0603","15.000","3745.000","360","Resistor SMT 0603"
"R32","1K","TopLayer","CR1608-0603","1450.000","3430.000","270","Resistor SMT 0603"
"P7","Header 2x3","TopLayer","HDR2X3S","1017.208","3425.000","180","Header 2x3"
"D_CLOCK","LED Red","TopLayer","LED1608-0603-RED","1350.000","3430.000","270","LED 0603 Red"
"RN16","10K","TopLayer","CR1206-0603_X4_N","3668.417","3384.960","270","SMT x4 Resistor Array"
"R19","1K","TopLayer","CR1608-0603","1097.417","728.960","270","Resistor SMT 0603"
"D17","LED Red","TopLayer","LED1608-0603-RED","935.417","785.810","0","LED 0603 Red"
"C7","100nF","TopLayer","CCNP1608-0603","3589.417","150.960","180","Capacitor non-polar SMT 0603"
"C3","100nF","TopLayer","CCNP1608-0603","3209.417","301.771","90","Capacitor non-polar SMT 0603"
"C2","100nF","TopLayer","CCNP1608-0603","3170.000","587.960","360","Capacitor non-polar SMT 0603"
"U1","MK20DX128VLF5","TopLayer","TSQFP50P900X900-48M","3469.417","439.960","270","Kinetis K20: 50MHz Cortex-M4 Performance MCU, 160KB Flash, 16KB SRAM, Full-Speed USB, 48-LQFP"
"Z8","CM1293A-04SO","TopLayer","SOT457_N","3625.417","765.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"RN13","10K","TopLayer","CR1206-0603_X4_N","3545.417","919.960","270","SMT x4 Resistor Array"
"USB1","USB4085-GF-A","TopLayer","USB4085-GF-A","-132.825","779.270","0","USB-C, USB 2.0 Receptacle Connector 16 Position Through Hole, Right Angle"
"R30","5.1K","TopLayer","CR1608-0603","70.685","643.960","360","Resistor SMT 0603"
"R29","5.1K","TopLayer","CR1608-0603","70.685","896.090","360","Resistor SMT 0603"
"F1","SMD0805-050","TopLayer","SMD0805-050","215.685","933.960","360","PTC Resetable Fuse 0805 0.5A hold"
"C6","100nF","TopLayer","CCNP1608-0603","1637.244","4099.960","180","Capacitor non-polar SMT 0603"
"U5","74HC541PW,118","TopLayer","TSSOP20_N","3551.417","2448.960","270","Octal 3-State Buffer/Line Driver/LineReceiver"
"C5","100nF","TopLayer","CCNP1608-0603","3544.417","2630.960","360","Capacitor non-polar SMT 0603"
"Z7","CM1293A-04SO","TopLayer","SOT457_N","3498.945","2126.133","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"RN9","470R","TopLayer","CR1206-0603_X4_N","3664.417","2099.960","270","SMT x4 Resistor Array"
"RN7","10K","TopLayer","CR1206-0603_X4_N","3329.417","2494.960","270","SMT x4 Resistor Array"
"Z6","CM1293A-04SO","TopLayer","SOT457_N","3299.417","3978.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"U4","PCA9535PW,118","TopLayer","TSSOP24_N","3543.417","3905.512","270","16-bit I2C I/O Expander (TSSOP24)
NO PUPs on I/O pins"
"RN11","470R","TopLayer","CR1206-0603_X4_N","3668.417","3189.960","270","SMT x4 Resistor Array"
"C4","100nF","TopLayer","CCNP1608-0603","3597.417","4113.960","360","Capacitor non-polar SMT 0603"
"C1","100nF","TopLayer","CCNP1608-0603","3620.417","1777.960","360","Capacitor non-polar SMT 0603"
"D4","LED Red","TopLayer","LED1608-0603-RED","2239.417","474.960","0","LED 0603 Red"
"R3","1K","TopLayer","CR1608-0603","1319.417","424.960","180","Resistor SMT 0603"
"R4","1K","TopLayer","CR1608-0603","1549.417","424.960","180","Resistor SMT 0603"
"R5","1K","TopLayer","CR1608-0603","1779.417","424.960","180","Resistor SMT 0603"
"R6","1K","TopLayer","CR1608-0603","2009.417","424.960","180","Resistor SMT 0603"
"R7","1K","TopLayer","CR1608-0603","2239.417","424.960","180","Resistor SMT 0603"
"R8","1K","TopLayer","CR1608-0603","2469.417","424.960","180","Resistor SMT 0603"
"R9","1K","TopLayer","CR1608-0603","2699.417","424.960","180","Resistor SMT 0603"
"R10","1K","TopLayer","CR1608-0603","2929.417","424.960","180","Resistor SMT 0603"
"RN2","470R","TopLayer","CR1206-0603_X4_N","3154.417","1459.960","270","SMT x4 Resistor Array"
"RN1","470R","TopLayer","CR1206-0603_X4_N","3154.417","1624.960","270","SMT x4 Resistor Array"
"S3","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","2469.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S4","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","2239.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S7","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","1549.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S8","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","1319.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"Z1","CM1293A-04SO","TopLayer","SOT457_N","3316.417","1454.960","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"Z2","CM1293A-04SO","TopLayer","SOT457_N","3316.417","1633.117","360","Ultra low capacitance quadruple rail-to-rail ESD protection"
"D8","LED Red","TopLayer","LED1608-0603-RED","1319.417","474.960","0","LED 0603 Red"
"U3","74HC541PW,118","TopLayer","TSSOP20_N","1640.417","3929.960","270","Octal 3-State Buffer/Line Driver/LineReceiver"
"Y1","16 MHz","TopLayer","CRYSTAL_SMD_3.2X2.5","3734.417","199.960","270","Crystal SMD 3.2 x 2.5 x 0.7 mm"
"RN3","10K","TopLayer","CR1206-0603_X4_N","737.598","3836.724","270","SMT x4 Resistor Array"
"RN4","10K","TopLayer","CR1206-0603_X4_N","737.598","4022.291","270","SMT x4 Resistor Array"
"R18","1K","TopLayer","CR1608-0603","1920.953","4078.945","180","Resistor SMT 0603"
"R17","1K","TopLayer","CR1608-0603","2070.953","4078.945","180","Resistor SMT 0603"
"R16","1K","TopLayer","CR1608-0603","2220.953","4078.945","180","Resistor SMT 0603"
"R15","1K","TopLayer","CR1608-0603","2370.953","4078.945","180","Resistor SMT 0603"
"R14","1K","TopLayer","CR1608-0603","2520.953","4078.945","180","Resistor SMT 0603"
"R13","1K","TopLayer","CR1608-0603","2670.953","4078.945","180","Resistor SMT 0603"
"R12","1K","TopLayer","CR1608-0603","2820.953","4078.945","180","Resistor SMT 0603"
"R11","1K","TopLayer","CR1608-0603","2970.953","4078.945","180","Resistor SMT 0603"
"RN6","470R","TopLayer","CR1206-0603_X4_N","1893.417","3529.960","270","SMT x4 Resistor Array"
"RN5","470R","TopLayer","CR1206-0603_X4_N","1893.417","3382.960","270","SMT x4 Resistor Array"
"P4","Header 2x8","TopLayer","HDR2X8S","2444.417","3425.000","180","Header 2x8"
"LED_7","LED Red","TopLayer","LED1608-0603-RED","1920.953","4128.945","0","LED 0603 Red"
"LED_6","LED Red","TopLayer","LED1608-0603-RED","2070.953","4128.945","0","LED 0603 Red"
"LED_5","LED Red","TopLayer","LED1608-0603-RED","2220.953","4128.945","0","LED 0603 Red"
"LED_4","LED Red","TopLayer","LED1608-0603-RED","2370.953","4128.945","0","LED 0603 Red"
"LED_3","LED Red","TopLayer","LED1608-0603-RED","2520.953","4128.945","0","LED 0603 Red"
"LED_2","LED Red","TopLayer","LED1608-0603-RED","2670.953","4128.945","0","LED 0603 Red"
"LED_1","LED Red","TopLayer","LED1608-0603-RED","2820.953","4128.945","0","LED 0603 Red"
"LED_0","LED Red","TopLayer","LED1608-0603-RED","2970.953","4128.945","0","LED 0603 Red"
"P10","Header 2x2","TopLayer","HDR2X2S","3199.417","1279.960","270","Header 2x2"
"S6","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","1779.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S5","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","2009.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"D7","LED Red","TopLayer","LED1608-0603-RED","1549.417","474.960","0","LED 0603 Red"
"D6","LED Red","TopLayer","LED1608-0603-RED","1779.417","474.960","0","LED 0603 Red"
"D5","LED Red","TopLayer","LED1608-0603-RED","2009.417","474.960","0","LED 0603 Red"
"D3","LED Red","TopLayer","LED1608-0603-RED","2469.417","474.960","0","LED 0603 Red"
"D2","LED Red","TopLayer","LED1608-0603-RED","2699.417","474.960","0","LED 0603 Red"
"D1","LED Red","TopLayer","LED1608-0603-RED","2929.417","474.173","0","LED 0603 Red"
"R1","4.7K","TopLayer","CR1608-0603","3255.417","3433.960","180","Resistor SMT 0603"
"R2","4.7K","TopLayer","CR1608-0603","3255.417","3384.960","180","Resistor SMT 0603"
"S2","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","2699.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
"S1","SMD-SW-4_5.1x5.1x2.0_M","TopLayer","SMD-SW-4_5.1X5.1X2.0_M","2929.417","189.960","90","Tactile Switch SPST 5.10mm X 5.10mm
(1.5mm=C318884)
(2.0mm=C318888)
(3.5mm=C318886)"
